date,deaths_new_dod,deaths_bid,deaths_bid_dod
43907,2,2,0
43908,0,0,0
43909,0,0,0
43910,1,1,0
43911,4,4,0
43912,4,4,1
43913,5,5,0
43914,2,2,0
43915,3,3,0
43916,5,5,0
43917,2,2,1
43918,6,6,0
43919,5,5,0
43920,4,4,0
43921,5,5,0
43922,2,2,0
43923,2,2,0
43924,5,5,0
43925,3,3,0
43926,2,2,0
43927,2,2,1
43928,1,1,0
43929,1,1,0
43930,2,2,0
43931,3,3,0
43932,3,3,0
43933,5,5,0
43934,1,1,0
43935,3,3,0
43936,2,2,0
43937,2,2,0
43938,1,1,0
43939,0,0,0
43940,1,1,0
43941,1,1,0
43942,2,2,0
43943,2,2,0
43944,1,1,0
43945,1,1,0
43946,2,2,0
43947,0,0,0
43948,1,1,0
43949,1,1,0
43950,1,1,0
43951,2,2,0
43952,0,0,0
43953,1,1,0
43954,1,1,0
43955,0,0,0
43956,2,2,0
43957,0,0,0
43958,1,1,0
43959,0,0,0
43960,1,1,0
43961,1,1,0
43962,0,0,0
43963,1,1,0
43964,2,2,1
43965,0,0,0
43966,0,0,0
43967,0,0,0
43968,0,0,0
43969,1,1,0
43970,0,0,0
43971,0,0,0
43972,1,1,0
43973,0,0,0
43974,0,0,0
43975,0,0,0
43976,0,0,0
43977,0,0,0
43978,0,0,0
43979,0,0,0
43980,0,0,0
43981,0,0,0
43982,0,0,0
43983,0,0,0
43984,0,0,0
43985,0,0,0
43986,1,1,0
43987,1,1,0
43988,0,0,0
43989,0,0,0
43990,0,0,0
43991,0,0,0
43992,1,1,0
43993,1,1,1
43994,2,2,1
43995,0,0,0
43996,0,0,0
43997,0,0,0
43998,0,0,0
43999,0,0,0
44000,0,0,0
44001,0,0,0
44002,0,0,0
44003,0,0,0
44004,0,0,0
44005,0,0,0
44006,0,0,0
44007,0,0,0
44008,0,0,0
44009,0,0,0
44010,0,0,0
44011,0,0,0
44012,0,0,0
44013,0,0,0
44014,0,0,0
44015,0,0,0
44016,0,0,0
44017,0,0,0
44018,0,0,0
44019,0,0,0
44020,0,0,0
44021,0,0,0
44022,1,1,0
44023,0,0,0
44024,0,0,0
44025,0,0,0
44026,0,0,0
44027,0,0,0
44028,0,0,0
44029,1,1,1
44030,0,0,0
44031,0,0,0
44032,0,0,0
44033,0,0,0
44034,0,0,0
44035,0,0,0
44036,0,0,0
44037,0,0,0
44038,1,1,0
44039,0,0,0
44040,0,0,0
44041,1,1,1
44042,0,0,0
44043,0,0,0
44044,0,0,0
44045,0,0,0
44046,0,0,0
44047,0,0,0
44048,0,0,0
44049,0,0,0
44050,0,0,0
44051,0,0,0
44052,0,0,0
44053,0,1,0
44054,0,0,0
44055,0,0,0
44056,0,0,0
44057,0,0,0
44058,0,0,0
44059,0,0,0
44060,0,0,0
44061,0,0,0
44062,0,0,0
44063,0,0,0
44064,0,0,0
44065,0,0,0
44066,0,0,0
44067,0,0,0
44068,0,0,0
44069,0,0,0
44070,0,0,0
44071,0,0,0
44072,1,1,0
44073,1,1,0
44074,0,0,0
44075,1,1,0
44076,0,0,0
44077,0,0,0
44078,0,0,0
44079,0,0,0
44080,0,0,0
44081,0,0,0
44082,0,0,0
44083,0,0,0
44084,0,0,0
44085,0,0,0
44086,0,0,0
44087,0,0,0
44088,1,1,1
44089,0,0,0
44090,0,0,0
44091,0,0,0
44092,1,1,0
44093,1,1,0
44094,0,0,0
44095,0,0,0
44096,1,1,0
44097,1,2,0
44098,0,0,0
44099,0,0,0
44100,1,1,1
44101,1,1,0
44102,1,1,0
44103,0,0,0
44104,0,0,0
44105,0,0,0
44106,2,3,0
44107,1,1,0
44108,2,2,0
44109,3,3,1
44110,1,1,1
44111,3,3,1
44112,5,5,1
44113,4,4,1
44114,3,3,1
44115,3,3,1
44116,3,3,3
44117,4,4,3
44118,4,4,1
44119,2,3,1
44120,6,6,1
44121,6,6,3
44122,2,2,0
44123,7,7,3
44124,4,4,3
44125,7,7,4
44126,11,11,4
44127,9,9,5
44128,3,3,0
44129,6,6,0
44130,2,2,1
44131,2,2,1
44132,10,10,4
44133,4,4,3
44134,3,3,1
44135,5,5,3
44136,3,4,3
44137,2,5,1
44138,2,8,0
44139,1,7,0
44140,6,6,4
44141,2,4,1
44142,3,2,2
44143,4,4,2
44144,8,1,5
44145,6,2,5
44146,2,2,1
44147,1,0,1
44148,1,3,1
44149,2,8,1
44150,3,2,1
44151,4,3,0
44152,5,3,3
44153,4,6,2
44154,4,4,1
44155,3,4,1
44156,3,4,1
44157,3,4,1
44158,2,4,2
44159,4,0,2
44160,4,4,3
44161,3,3,1
44162,2,2,1
44163,4,5,3
44164,3,6,2
44165,3,6,0
44166,2,0,0
44167,2,6,2
44168,11,1,1
44169,0,1,0
44170,4,4,1
44171,3,2,0
44172,2,4,0
44173,4,6,2
44174,5,3,0
44175,3,8,1
44176,6,6,1
44177,9,6,2
44178,4,2,0
44179,4,1,1
44180,3,5,0
44181,7,3,2
44182,3,4,1
44183,0,2,0
44184,1,4,0
44185,4,4,1
44186,1,2,0
44187,1,5,1
44188,5,3,2
44189,2,10,2
44190,3,4,1
44191,2,8,1
44192,1,1,1
44193,3,8,0
44194,2,3,0
44195,6,8,1
44196,8,7,0
44197,3,12,0
44198,9,9,1
44199,11,8,1
44200,7,10,0
44201,11,10,3
44202,1,17,1
44203,8,6,1
44204,16,12,3
44205,5,8,0
44206,9,12,1
44207,4,3,1
44208,4,9,0
44209,4,9,2
44210,15,13,2
44211,8,14,0
44212,8,15,1
44213,7,11,1
44214,4,16,0
44215,14,10,1
44216,11,19,1
44217,12,15,2
44218,18,16,4
44219,7,15,0
44220,11,11,2
44221,11,16,3
44222,11,20,2
44223,7,16,0
44224,10,12,2
44225,16,19,5
44226,13,13,3
44227,14,18,2
44228,10,15,0
44229,21,14,0
44230,18,20,4
44231,17,22,3
44232,19,8,2
44233,12,16,3
44234,15,12,3
44235,24,23,6
44236,13,13,0
44237,14,11,0
44238,1,13,0
44239,18,6,1
44240,6,15,1
44241,8,9,0
44242,11,14,0
44243,9,12,1
44244,23,7,2
44245,1,7,0
44246,39,9,7
44247,9,8,1
44248,6,5,1
44249,7,10,2
44250,20,5,6
44251,12,5,1
44252,13,6,2
44253,10,3,5
44254,10,10,2
44255,9,5,0
44256,5,4,0
44257,6,9,1
44258,7,4,0
44259,5,3,0
44260,6,9,1
44261,7,4,0
44262,3,5,0
44263,8,6,1
44264,9,8,2
44265,5,7,0
44266,9,4,1
44267,3,3,1
44268,3,3,0
44269,4,3,0
44270,3,5,0
44271,5,3,0
44272,2,2,0
44273,3,2,0
44274,2,1,0
44275,4,5,0
44276,4,6,0
44277,5,4,1
44278,1,2,0
44279,2,4,0
44280,2,2,0
44281,1,1,0
44282,2,8,2
44283,4,3,0
44284,5,4,0
44285,4,6,0
44286,8,9,1
44287,6,3,2
44288,5,2,1
44289,3,5,1
44290,2,6,0
44291,7,4,0
44292,5,3,0
44293,4,2,0
44294,4,6,0
44295,5,7,2
44296,8,3,0
44297,8,6,1
44298,4,11,1
44299,12,5,5
44300,8,5,0
44301,10,4,1
44302,2,6,0
44303,5,11,0
44304,8,8,0
44305,8,9,0
44306,3,10,0
44307,11,9,3
44308,7,6,0
44309,8,15,3
44310,11,8,2
44311,10,21,0
44312,13,14,2
44313,13,10,2
44314,15,14,3
44315,15,22,3
44316,14,21,3
44317,15,16,0
44318,12,20,2
44319,18,23,0
44320,23,14,2
44321,17,30,2
44322,19,27,4
44323,22,29,3
44324,25,29,4
44325,26,21,4
44326,17,35,0
44327,22,43,2
44328,39,50,3
44329,27,38,3
44330,34,44,2
44331,44,48,0
44332,36,44,1
44333,45,51,3
44334,47,58,8
44335,46,52,5
44336,59,46,7
44337,50,60,3
44338,50,84,10
44339,49,69,6
44340,61,66,5
44341,60,74,4
44342,63,91,8
44343,59,63,3
44344,61,105,3
